scientificNameCBRO2021,scientificNameOriginal,category,scale,year,source,link
Piprites pileata,"Piprites pileatus (temminck, 1822)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Alectrurus tricolor,"Alectrurus tricolor (Vieillot, 1816)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Culicivora caudacuta,"Culicivora caudacuta (Vieillot, 1818)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Onychorhynchus coronatus,"Onycorhynchus coronatus (MÃ¼ller, 1776)",EN,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Phylloscartes roquettei,"Phylloscartes roquettei Snethlage, 1928",EN,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Scytalopus novacapitalis,"Scytalopus novacapitalis Sick, 1958",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Grallaria varia,"Grallaria varia (Boddaert, 1783)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Biatas nigropectus,"Biatas nigropectus (Lafresnaye, 1850)",EN,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Drymophila genei,"Drymophila genei (Filippi, 1847)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
Dysithamnus plumbeus,"Dysithamnus plumbeus (Wied, 1831)",VU,MG,1995,"DELIBERAÇÃO COPAM Nº 041, DE 20 DE DEZEMBRO DE 1995",https://sogi8.sogi.com.br/Manager/texto/arquivo/exibir/arquivo?eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9AFFIjAvNzYyMy9TR19SZXF1aXNpdG9fTGVnYWxfVGV4dG8vMC8wL0RPQ1VNRU5UTyAxLnBkZi8wLzAiAFF88h2Tc4b1DKWJNbLt4T-ulh5Q08zPKLIvrKJD0RQT9U
