especie,especieCBRO
Cypsnagra hirundinacea,Cypsnagra hirundinacea
Dacnis nigripes,Dacnis nigripes
Daption capense,Daption capense
Daptrius americanus,Ibycter americanus
Deconychura longicauda zimmeri,Deconychura longicauda zimmeri
Dendrexetastes rufigula paraensis,Dendrexetastes paraensis
Dendrocincia turdina,Dendrocincla turdina
Dendrocincla merula badia,Dendrocincla merula badia
Dendrocincla turdina,Dendrocincla turdina
Dendrocolaptes certhia medius,Dendrocolaptes medius
Dendrocygna bicolor,Dendrocygna bicolor
Diomedea dabbenena,Diomedea dabbenena
Diomedea epomophora,Diomedea epomophora
Diomedea exulans,Diomedea exulans
Diomedea sanfordi,Diomedea sanfordi
Discosura langsdorffi,Discosura langsdorffi
Dixiphia pipra,Pseudopipra pipra
Dromococcyx pavoninus,Dromococcyx pavoninus
Dromococcyx phasianellus,Dromococcyx phasianellus
Drymophila genei,Drymophila genei
Drymophila rubricollis,Drymophila rubricollis
Drymophila squamata,Drymophila squamata
Drymornis bridgesii,Drymornis bridgesii
Dryocopus galeatus,Celeus galeatus
Dryocopus lineatus,Dryocopus lineatus
Dysithamnus plumbeus,Dysithamnus plumbeus
Dysithamnus xanthopterus,Dysithamnus xanthopterus
Eleoscytalopus indigoticus,Eleoscytalopus indigoticus
Eleoscytalopus psychopompus,Eleoscytalopus psychopompus
Eleothreptus anomalus,Hydropsalis anomala
Eudocimus ruber,Eudocimus ruber
Euphonia chalybea,Euphonia chalybea
Euphonia violacea,Euphonia violacea
Euscarthmus rufomarginatus,Euscarthmus rufomarginatus
Falco deiroleucus,Falco deiroleucus
Falco refigularis,Falco rufigularis
Falco rufigularis ophryophanes,Falco rufigularis ophryophanes
Formicarius colma,Formicarius colma
Formicarius colma ruficeps,Formicarius colma ruficeps
Formicivora acutirostris,Formicivora acutirostris
Formicivora erythronotus,Formicivora erythronotos
Formicivora grantsaui,Formicivora grantsaui
Formicivora ihering,Formicivora iheringi
Formicivora littoralis,Formicivora littoralis
Formicivora rufa,Formicivora rufa
Fregata ariel,Fregata trinitatis
Fregata minor,Fregata minor
Fulica rufifrons,Fulica rufifrons
Fulmarus glacialoides,Fulmarus glacialoides
Galbula ruficauda,Galbula ruficauda
Gallinago undulata,Gallinago undulata
Gallinago undulata gigantea,Gallinago undulata gigantea
Gallinula melanops,Porphyriops melanops
Gelochelidon nilotica,Gelochelidon nilotica
Geobates pocilopterus,Geositta poeciloptera
Geositta cunicularia,Geositta cunicularia
Geositta poeciloptera,Geositta poeciloptera
Geotrygon violacea,Geotrygon violacea
Geotrygon violacea violacea,Geotrygon violacea violacea
Geranoaetus melanoleucus,Geranoaetus melanoleucus
Glaucidium minutissimum,Glaucidium minutissimum
Glaucis dohrnii,Glaucis dohrnii
Glyphorinchus spirurus,Glyphorynchus spirurus
Glyphorynchus spirurus,Glyphorynchus spirurus
Grallaria varia,Grallaria varia
Grallaria varia imperator,Grallaria varia imperator
Griseotyrannus aurantioatrocristatus,Griseotyrannus aurantioatrocristatus
Guaruba guarouba,Guaruba guarouba
Gubernatrix cristata,Gubernatrix cristata
Gubernetes yetapa,Gubernetes yetapa
Gygis alba alba,Gygis alba
Haematopus palliatus,Haematopus palliatus
Haematopus palliatus palliatus,Haematopus palliatus palliatus
Harpagus bidentatus,Harpagus bidentatus
Harpia harpyja,Harpia harpyja
Harpyhaliaetus coronatus,Urubitinga coronata
Heliactin bilophus,Heliactin bilophus
Heliornis fulica,Heliornis fulica
Hemitriccus diops,Hemitriccus diops
