x,speciesCBRO2021
"Aves Aves Passeriformes Emberizidae Poospiza cinerea Bonaparte, 1850 capacetinho-do-oco-do-pau CR","Microspingus cinereus Bonaparte, 1850"
"Aves Aves Passeriformes Emberizidae Emberizoides ypiranganus Ihering & Ihering, 1907 canário-do-brejo VU","Emberizoides ypiranganus Ihering & Ihering, 1907"
"Aves Aves Passeriformes Emberizidae Embernagra platensis (Gmelin, 1789) sabiá-do-banhado VU","Embernagra platensis (Gmelin, 1789)"
"Aves Aves Passeriformes Emberizidae Sporophila frontalis (Verreaux, 1869) pixoxó CR","Sporophila frontalis (Verreaux, 1869)"
"Aves Aves Passeriformes Emberizidae Sporophila falcirostris (Temminck, 1820) cigarra-verdadeira CR","Sporophila falcirostris (Temminck, 1820)"
"Aves Aves Passeriformes Emberizidae Sporophila plumbea (Wied, 1830) patativa EN","Sporophila plumbea (Wied, 1830)"
"Aves Aves Passeriformes Emberizidae Sporophila collaris (Boddaert, 1783) coleiro-do-brejo VU","Sporophila collaris (Boddaert, 1783)"
"Aves Aves Passeriformes Emberizidae Sporophila bouvreuil (Statius Müller, 1776) caboclinho VU","Sporophila bouvreuil (Statius Muller, 1776)"
"Aves Aves Passeriformes Emberizidae Sporophila pileata (Sclater, 1864) caboclinho-coroado EN","Sporophila pileata (Sclater, 1865)"
"Aves Aves Passeriformes Emberizidae Sporophila hypoxantha Cabanis, 1851 caboclinho-de-barriga-vermelha CR","Sporophila hypoxantha Cabanis, 1851"
"Aves Aves Passeriformes Emberizidae Sporophila ruficollis Cabanis, 1851 caboclinho-de-papo-escuro CR","Sporophila ruficollis Cabanis, 1851"
"Aves Aves Passeriformes Emberizidae Sporophila palustris (Barrows, 1883) caboclinho-de-papo-branco CR","Sporophila palustris (Barrows, 1883)"
"Aves Aves Passeriformes Emberizidae Sporophila cinnamomea (Lafresnaye, 1839) caboclinho-de-chapéu-cinzento CR","Sporophila cinnamomea (Lafresnaye, 1839)"
"Aves Aves Passeriformes Emberizidae Sporophila melanogaster (Pelzeln, 1870) caboclinho-de-barriga-preta CR","Sporophila melanogaster (Pelzeln, 1870)"
"Aves Aves Passeriformes Emberizidae Sporophila angolensis (Linnaeus, 1766) curió VU","Sporophila angolensis (Linnaeus, 1766)"
"Aves Aves Passeriformes Emberizidae Sporophila maximiliani (Cabanis, 1851) bicudo CR","Sporophila maximiliani (Cabanis, 1851)"
"Aves Aves Passeriformes Emberizidae Amaurospiza moesta (Hartlaub, 1853) negrinho-do-mato VU","Amaurospiza moesta (Hartlaub, 1853)"
"Aves Aves Passeriformes Emberizidae Charitospiza eucosma Oberholser, 1905 mineirinho CR","Charitospiza eucosma Oberholser, 1905"
"Aves Aves Passeriformes Emberizidae Coryphaspiza melanotis (Temminck, 1822) tico-tico-de-máscara-negra CR","Coryphaspiza melanotis (Temminck, 1822)"
"Aves Aves Passeriformes Cardinalidae Saltator atricollis Vieillot, 1817 bico-de-pimenta VU","Saltatricula atricollis (Vieillot, 1817)"
"Aves Aves Passeriformes Cardinalidae Cyanocompsa brissonii (Lichtenstein, 1823) azulão VU","Cyanoloxia brissonii (Lichtenstein, 1823)"
"Aves Aves Passeriformes Parulidae Basileuterus leucophrys Pelzeln, 1868 pula-pula-de-sobrancelha EN","Myiothlypis leucophrys (Pelzeln, 1868)"
"Aves Aves Passeriformes Fringillidae Euphonia chalybea (Mikan, 1825) cais-cais VU","Euphonia chalybea (Mikan, 1825)"
