"Especie","Nome_Comum","Categoria"
"Phaethornis idaliae","rabo-branco-mirim","Pouco Preocupante"
"Phaethornis nattereri","rabo-branco-de-sobre-amarelo","Pouco Preocupante"
"Phaethornis griseogularis","rabo-branco-de-garganta-cinza","Pouco Preocupante"
"Phaethornis ruber","rabo-branco-rubro","Pouco Preocupante"
"Buteogallus anthracinus","gaviao-caranguejeiro-negro","Pouco Preocupante"
"Phaethornis subochraceus","rabo-branco-de-barriga-fulva","Pouco Preocupante"
"Phaethornis augusti","rabo-branco-cinza-claro","Pouco Preocupante"
"Phaethornis pretrei","rabo-branco-acanelado","Pouco Preocupante"
"Phaethornis eurynome","rabo-branco-de-garganta-rajada","Pouco Preocupante"
"Phaethornis hispidus","rabo-branco-cinza","Pouco Preocupante"
"Phaethornis philippii","rabo-branco-amarelo","Pouco Preocupante"
"Phaethornis major","rabo-branco-de-barriga-cinza",NA
"Phaethornis bourcieri","rabo-branco-de-bico-reto","Pouco Preocupante"
"Phaethornis superciliosus","rabo-branco-de-bigodes","Pouco Preocupante"
"Phaethornis malaris","rabo-branco-de-bico-grande","Pouco Preocupante"
"Phaethornis margarettae","rabo-branco-de-margarette",NA
"Phaethornis atrimentalis","rabo-branco-de-garganta-escura",NA
"Doryfera johannae","bico-de-lanca","Pouco Preocupante"
"Augastes scutatus","beija-flor-de-gravata-verde","Quase Ameaçada"
"Geranoaetus polyosoma","gaviao-de-costas-vermelhas","Pouco Preocupante"
"Augastes lumachella","beija-flor-de-gravata-vermelha","Quase Ameaçada"
"Colibri delphinae","beija-flor-marrom","Pouco Preocupante"
"Colibri coruscans","beija-flor-violeta","Pouco Preocupante"
"Colibri serrirostris","beija-flor-de-orelha-violeta","Pouco Preocupante"
"Heliactin bilophus","chifre-de-ouro","Pouco Preocupante"
"Heliothryx auritus","beija-flor-de-bochecha-azul","Pouco Preocupante"
"Polytmus guainumbi","beija-flor-de-bico-curvo","Pouco Preocupante"
"Polytmus theresiae","beija-flor-verde","Pouco Preocupante"
"Avocettula recurvirostris","beija-flor-de-bico-virado","Pouco Preocupante"
"Chrysolampis mosquitus","beija-flor-vermelho","Pouco Preocupante"
"Anthracothorax viridigula","beija-flor-de-veste-verde","Pouco Preocupante"
"Anthracothorax nigricollis","beija-flor-de-veste-preta","Pouco Preocupante"
"Discosura langsdorffi","rabo-de-espinho","Pouco Preocupante"
"Discosura longicaudus","bandeirinha","Pouco Preocupante"
"Lophornis ornatus","beija-flor-de-leque-canela","Pouco Preocupante"
"Lophornis gouldii","topetinho-do-brasil-central","Vulnerável"
"Lophornis magnificus","topetinho-vermelho","Pouco Preocupante"
"Lophornis cf. delattrei","topetinho-ruivo",NA
"Lophornis chalybeus","topetinho-verde","Quase Ameaçada"
"Lophornis pavoninus","topetinho-pavao","Pouco Preocupante"
"Heliodoxa xanthogonys","brilhante-veludo","Pouco Preocupante"
"Heliodoxa schreibersii","brilhante-de-garganta-preta","Pouco Preocupante"
"Heliodoxa aurescens","beija-flor-estrela","Pouco Preocupante"
"Heliodoxa rubricauda","beija-flor-rubi","Pouco Preocupante"
"Heliomaster longirostris","bico-reto-cinzento","Pouco Preocupante"
"Heliomaster squamosus","bico-reto-de-banda-branca","Pouco Preocupante"
"Heliomaster furcifer","bico-reto-azul","Pouco Preocupante"
"Calliphlox amethystina","estrelinha-ametista","Pouco Preocupante"
