scientificNameCBRO2021,scientificNameOriginal,category,scale,year,source,link
Lophornis gouldii,Lophornis gouldii,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Phaethornis aethopygus,Phaethornis aethopygus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Phaethornis major,Phaethornis major,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Phaethornis margarettae,Phaethornis margarettae,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Thalurania watertonii,Thalurania watertonii,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Hydropsalis candicans,Hydropsalis candicans,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Nyctiprogne vielliardi,Nyctiprogne vielliardi,EN,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Burhinus bistriatus,Burhinus bistriatus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Charadrius wilsonia,Charadrius wilsonia,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Sterna dougallii,Sterna dougallii,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Sterna hirundinacea,Sterna hirundinacea,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
Thalasseus acuflavidus,Thalasseusacuflavidus,VU,Brazil,2022,"PORTARIA GM/MMA Nº 300, DE 13 DE DEZEMBRO DE 2022",https://www.in.gov.br/en/web/dou/-/portaria-gm/mma-n-300-de-13-de-dezembro-de-2022-450425464
